group_type,group_value,count,target_mean,female_fraction,base_clean_mae,base_clean_bias,base_artifact_mae,base_artifact_bias,base_disagreement,c_clean_mae,c_clean_bias,c_artifact_mae,c_artifact_bias,c_disagreement,blend_clean_mae,blend_clean_bias,blend_artifact_mae,blend_artifact_bias,blend_disagreement,c_clean_delta,c_clean_delta_ci_low,c_clean_delta_ci_high,c_artifact_delta,c_artifact_delta_ci_low,c_artifact_delta_ci_high,blend_clean_delta,blend_clean_delta_ci_low,blend_clean_delta_ci_high,blend_artifact_delta,blend_artifact_delta_ci_low,blend_artifact_delta_ci_high
fold_age,fold_1|0-59,179,38.262569832402235,0.4692737430167598,5.638262466345419,3.233158836151635,6.19371569756023,2.217358466633206,2.8124136684993126,6.353228009612867,4.365449532450245,6.421744490468968,4.5117302580252705,1.1988934564856844,6.096694004975219,4.05973104444962,6.163338477278555,3.8922498743494134,1.3369344302129476,0.7149655432674475,0.27810958244281114,1.1678481027400693,0.22802879290873818,-0.45586514179932935,0.8961082937997151,0.458431538629799,0.13454503442988128,0.7903180066167312,-0.03037722028167534,-0.550302659476935,0.4758161675437201
fold_age,fold_1|120-179,1607,146.19415059116366,0.417548226509023,5.801540073283207,-0.33424526990832343,6.810695731276374,0.06458331370991667,3.2415589034075163,5.5913756488641,-0.20608503416449514,5.673990326782302,-0.04853969400687204,0.9571404020906459,5.577584938804185,-0.24068829781532877,5.7737807505428975,-0.01799648192333902,1.3479603262368982,-0.21016442441910607,-0.3195778867511475,-0.09955693561242988,-1.136705404494071,-1.3335206407453226,-0.9462871267844524,-0.2239551344790212,-0.3064502583665727,-0.1406569462368476,-1.0369149807334759,-1.1880085650659453,-0.8865205130538506
fold_age,fold_1|180-228,245,191.22040816326532,0.2979591836734694,5.712590431680485,-1.8927836515465613,6.029913703762754,-0.6185622857541498,2.770190180564414,6.1226707614198,-2.384045721560114,6.297891297632335,-2.2190859424824665,1.287377867406727,5.956276930828482,-2.251404962656456,6.014768660564812,-1.7869445551658216,1.4447176582180725,0.4100803297393153,0.13526572402642123,0.6910337051080189,0.2679775938695806,-0.1495306427624742,0.6939510874845536,0.24368649914799673,0.04132154853976158,0.4551831058580024,-0.015145043197942553,-0.3339011279981987,0.30859478003054114
fold_age,fold_1|60-119,777,89.54440154440154,0.5907335907335908,7.500626430241451,0.5816241378489612,8.432980987863038,-1.605934128337845,3.4495980398995534,7.71926313324171,2.7355259584797547,7.901594527746567,2.9170943055220397,1.2844191837188057,7.5402972048313925,2.1539724669094404,7.7114055390523655,1.695876628379871,1.4855445268746355,0.21863670300025884,-0.02609906485028581,0.4647774173486189,-0.5313864601164713,-0.9363381928305218,-0.13146875705498146,0.03967077458994095,-0.14315880589258143,0.22594859136608378,-0.7215754488106714,-1.0249085046873745,-0.4155183232428955
fold_age,fold_2|0-59,179,37.849162011173185,0.4692737430167598,5.9634198662955,1.0641196906233639,6.677994626860379,-0.21328863218509936,3.036199942647412,6.6900568701035485,3.5550120689349476,6.913121079599391,3.4350335531394576,1.3804250322906664,6.3075084127926955,2.88247112679082,6.4714903107968125,2.449986563101827,1.4953778231743327,0.7266370038080485,0.1625558501515316,1.2883947265880729,0.23512645273901278,-0.5123069193110117,0.9656206264176185,0.3440885464971959,-0.08481466871932937,0.7685596338304055,-0.20650431606356626,-0.8150341403737413,0.38587601835368046
fold_age,fold_2|120-179,1607,145.36776602364654,0.417548226509023,6.010311912436921,-0.6593687749457938,6.689221052776306,-0.46483157715147605,2.8173264679733685,5.787928981816613,-0.38845593512392074,5.881300973091054,-0.11461506471473688,0.9065538132198122,5.793312344696482,-0.4616024018758265,5.927382171526412,-0.20917352307265638,1.1746848751939303,-0.22238293062030853,-0.3401458018599047,-0.1040694953049645,-0.8079200796852516,-1.0174525286443648,-0.6049167642551844,-0.2169995677404395,-0.30227788078554924,-0.1303890797568165,-0.7618388812498933,-0.9303123182155508,-0.6023561123050956
fold_age,fold_2|180-228,245,190.9387755102041,0.2979591836734694,5.223037657445789,-2.0059115662866756,5.341298691107304,-1.5653854058713375,2.146079487703284,5.3262326610331625,-1.1081285126355258,5.367552403041293,-0.8320265789421304,1.2883332544443558,5.193077229402505,-1.3505299371213377,5.202149425273038,-1.0300334622130163,1.319516407246494,0.10319500358737325,-0.23216780370595505,0.43568602892817304,0.02625371193398759,-0.4660162914042603,0.5036238175995417,-0.029960428043284536,-0.28815932078458667,0.2214919463644227,-0.13914926583426704,-0.5044869709559896,0.22174351037472642
fold_age,fold_2|60-119,776,88.8389175257732,0.5914948453608248,7.273458677468841,0.8146038743638501,7.6978314832313774,0.18678249772062036,3.0160514743057725,7.494671983817189,1.9767979641550593,7.744866671021452,2.3985532927758917,1.3360194471693534,7.340913688374548,1.6630055599114328,7.496071962671182,1.8013751781109681,1.4235972648797584,0.2212133063483481,0.0027971304569047663,0.437431602748398,0.04703518779007421,-0.3020296493756404,0.39095046286730367,0.06745501090570803,-0.09071361554652135,0.22818906929566635,-0.2017595205601958,-0.4712745930226804,0.05764987493913226
fold_age,fold_3|0-59,179,39.23463687150838,0.4692737430167598,5.646189833486546,3.2792098189199437,6.4113635697178335,0.09092422570596241,3.8495167353965716,6.103521677368846,1.837273283377706,6.305253098130892,2.027517137580744,1.2815229533104922,5.815030361793561,2.2265961479741105,5.957032048742199,1.5046370513745535,1.5543930699439024,0.45733184388229975,-0.06024604509662639,0.9706606800995724,-0.10611047158694094,-0.8129619022987403,0.5990470481318461,0.16884052830701413,-0.21987476847558032,0.5607920855570108,-0.45433152097563434,-1.0500445387110355,0.11738849835955145
fold_age,fold_3|120-179,1606,145.43524283935244,0.41718555417185554,6.235641018688159,-1.836759265600373,7.505535301503031,-1.5324945414199924,3.3121006064219016,6.043588939966033,-0.4231631467826341,6.1014748949784865,-0.12752518232257717,1.0127841574168888,5.999664947015709,-0.8048340988634238,6.2901348766265155,-0.5068669092788788,1.3604581178258992,-0.1920520787221261,-0.328473061434507,-0.05544150698081066,-1.4040604065245441,-1.6723416435317708,-1.155447473324103,-0.23597607167245155,-0.33791936089003805,-0.13512507909796193,-1.2154004248765158,-1.4192535823962167,-1.0240768079282636
fold_age,fold_3|180-228,246,191.17073170731706,0.2967479674796748,5.891353545150136,-0.6619811949691187,6.529900124402548,0.005940662166933087,2.753328152788363,5.899424235026042,-3.3000908828363213,6.0354180064627805,-3.2246851727245343,0.8737415840955299,5.669640030589531,-2.587801267112176,5.822758755877735,-2.352416197303838,1.2269503920640412,0.008070689875904818,-0.528394439356117,0.5213756313168884,-0.49448211793976765,-1.0758452392205908,0.0722524425847774,-0.22171351456060673,-0.624379111235705,0.1833414107764617,-0.7071413685248128,-1.1540869171018522,-0.27146415297965304
fold_age,fold_3|60-119,776,89.1417525773196,0.5914948453608248,7.436445590147038,0.48599061277723804,8.259302090123757,-0.7291040125581407,3.2639721349342583,7.538988369027364,1.5815053723522068,7.721409763257528,1.684704411890089,1.1757058064962167,7.433223769787659,1.285716387266965,7.578535552713061,1.032976137289067,1.4375299894686826,0.10254277888032583,-0.07819378535772119,0.2880449393360884,-0.5378923268662287,-0.8872852717478253,-0.19195225349406628,-0.0032218203593775523,-0.1399380239100794,0.1336843538124535,-0.6807665374106968,-0.9772922881878529,-0.3970205789841337
fold_age,fold_4|0-59,179,39.452513966480446,0.4692737430167598,6.31236591019444,4.611913499885431,6.468471697588873,3.592633146147489,1.9550336059911284,6.266472139838021,3.7331827472708077,6.541054368685078,3.6353726093995506,1.01401138305664,6.178838963641802,3.9704400504767565,6.401784201041281,3.623832954321495,1.119667551477528,-0.045893770356418055,-0.43406454278104123,0.38284320032130376,0.07258267109620534,-0.39992169801083327,0.5606708872917646,-0.13352694655263886,-0.4301715076116209,0.19270187569197295,-0.06668749654759207,-0.418179111038506,0.2974598996732489
