weight_c,count,clean_mae,baseline_clean_mae,clean_delta,artifact_mae,baseline_artifact_mae,artifact_delta,artifact_gain,disagreement_mean,baseline_disagreement_mean,disagreement_reduction,max_age_clean_delta,max_age_artifact_delta,feasible
0.33,14036,6.244768014393087,6.330013979327206,-0.08524596493411885,6.770696715210605,7.237796939176928,-0.4671002239663231,0.4671002239663231,2.2420576326267505,3.093309116553771,0.27519121169351235,-0.021499736326867414,-0.21264407970918686,False
0.34,14036,6.243714405232666,6.330013979327206,-0.08629957409454025,6.75963420480906,7.237796939176928,-0.47816273436786805,0.47816273436786805,2.217455856538491,3.093309116553771,0.2831444343302685,-0.020524571533518277,-0.2149367926400476,False
0.35000000000000003,14036,6.242777537592933,6.330013979327206,-0.08723644173427303,6.748800302822389,7.237796939176928,-0.48899663635453905,0.48899663635453905,2.192933661280686,3.093309116553771,0.2910719302040482,-0.019462805819001616,-0.21683201241093641,False
0.36,14036,6.241945794486837,6.330013979327206,-0.08806818484036949,6.738210773669135,7.237796939176928,-0.4995861655077931,0.4995861655077931,2.1684906151533196,3.093309116553771,0.29897383887413875,-0.01831934074985675,-0.2182852009181877,False
0.37,14036,6.2411979209191095,6.330013979327206,-0.08881605840809659,6.727802877254927,7.237796939176928,-0.5099940619220007,0.5099940619220007,2.1441291345589253,3.093309116553771,0.3068493791698125,-0.017073252166063924,-0.21959733394004743,False
0.38,14036,6.240546499487681,6.330013979327206,-0.08946747983952541,6.717575854651776,7.237796939176928,-0.5202210845251516,0.5202210845251516,2.119841634718296,3.093309116553771,0.31470100308630233,-0.015781170187215032,-0.2208877732260932,False
0.39,14036,6.23998286997093,6.330013979327206,-0.09003110935627578,6.70756480717326,7.237796939176928,-0.5302321320036674,0.5302321320036674,2.0956350220815856,3.093309116553771,0.32252647791750133,-0.012728573761837225,-0.22193441081979426,False
0.4,14036,6.239490857074049,6.330013979327206,-0.09052312225315706,6.697703940836443,7.237796939176928,-0.5400929983404845,0.5400929983404845,2.071565650228966,3.093309116553771,0.3303075857685768,-0.009368596423271036,-0.22229841008532603,False
0.41000000000000003,14036,6.2390674027121955,6.330013979327206,-0.0909465766150106,6.687970335539945,7.237796939176928,-0.5498266036369825,0.5498266036369825,2.04763386885914,3.093309116553771,0.33804421358949377,-0.005785716989186618,-0.22259273669706303,False
0.42,14036,6.238725246300077,6.330013979327206,-0.09128873302712925,6.6784919492972135,7.237796939176928,-0.5593049898797142,0.5593049898797142,2.0238273504718682,3.093309116553771,0.3457403465947184,-0.0021836165955591014,-0.22270735432715227,False
0.43,14036,6.238450498306435,6.330013979327206,-0.0915634810207715,6.669252754422327,7.237796939176928,-0.5685441847546011,0.5685441847546011,2.000128685284558,3.093309116553771,0.3534016129907883,0.0016642907851238675,-0.2226585428248571,False
